Id,SalePrice
1461,113452.00851695845
1462,162484.19214835204
1463,186734.38381986017
1464,197170.7545901609
1465,209842.64774290333
1466,169664.10108999372
1467,173160.64138086187
1468,159446.3558701924
1469,206294.7248208765
1470,115295.49668930448
1471,156941.19259477407
1472,92425.43265757733
1473,93833.31297731865
1474,147467.51676972397
1475,107204.74145509489
1476,376463.8016512813
1477,262878.3457341583
1478,313249.0690137495
1479,298883.4363000989
1480,489922.4286527387
1481,312692.2882797043
1482,205155.3963295219
1483,177792.64662299864
1484,163163.01463639317
1485,178636.2634540298
1486,188366.12138236687
1487,335301.99869197933
1488,231266.9941670196
1489,203276.43609099393
1490,259880.28797088377
1491,201182.8681882692
1492,104826.48707106686
1493,187703.25307371956
1494,301770.94810425513
1495,289853.6898590892
1496,244716.49754119595
1497,177075.26265998604
1498,175227.70168149378
1499,154903.46703880257
1500,151722.46389265382
1501,201317.51467750547
1502,133680.25537566585
1503,349753.34874214116
1504,233475.09058896615
1505,224486.01237860858
1506,195648.593540614
1507,258108.42002994288
1508,197811.24911118555
1509,156328.8792643696
1510,142743.4218942623
1511,158728.6595015393
1512,175987.88627582416
1513,155762.00812409702
1514,170258.52062976616
1515,212361.80417450354
1516,154572.41924677533
1517,178590.29509728565
1518,120738.33320119604
1519,217404.45895940484
1520,120767.09934777231
1521,134965.88897535298
1522,191602.62377571966
1523,108257.4497885264
1524,127750.7572219111
1525,116827.80991394469
1526,103833.33756714012
1527,104694.52370373905
1528,134350.22888581664
1529,160246.8192018848
1530,214292.68391067698
1531,129984.39678817149
1532,98549.67258462287
1533,167993.9859316263
1534,128140.9210785355
1535,150304.3859602788
1536,91403.86693947227
1537,49642.21874875319
1538,154264.29591433704
1539,208491.51446483005
1540,112333.76646255516
1541,144343.48520972626
1542,166989.3481136288
1543,187722.58039329434
1544,76923.05409707152
1545,119857.9262549216
1546,137933.76398232486
1547,136431.15533158486
1548,149667.9200335499
1549,126263.59711134434
1550,141254.31974162045
1551,105156.18248164118
1552,154370.25108150346
1553,162828.9639273621
1554,108781.27537725936
1555,158598.70665900595
1556,49780.76137501397
1557,134713.7125326763
1558,107712.47042434965
1559,59772.83908732468
1560,117349.70282325218
1561,151477.17071224446
1562,131610.77693672688
1563,132480.73407415394
1564,169179.7800312515
1565,159514.03730188985
1566,230215.03290735418
1567,76834.42648065253
1568,224444.84256683756
1569,137731.22959228675
1570,127681.56621163618
1571,87194.45557157462
1572,150935.01791623025
1573,266730.72491463134
1574,137665.14854244073
1575,237179.386896346
1576,232928.08301940956
1577,181606.2273585389
1578,157139.0223179902
1579,130481.65001124679
1580,189019.82935879263
1581,154947.88212945918
1582,137199.6441446899
1583,286009.8605673788
1584,220301.32406617678
1585,132937.3338654039
1586,81473.79065861437
1587,107104.17560916021
1588,157313.81184224575
1589,106402.66806349182
